,title,link,image,author,price,discount,publisher,isbn,description,pubdate
102,시간을 파는 상점 (김선영 장편소설),http://book.naver.com/bookdb/book_detail.php?bid=13977077,https://bookthumb-phinf.pstatic.net/cover/139/770/13977077.jpg?type=m1&udate=20201208,김선영,13500,12150,자음과모음,8954439020 9788954439022,"김선영의 작품은 성인 독자가 읽어도 손색없을 정도로 의미 있는 소설이지만 안타깝게도 청소년문학에 대한 편견 혹은, 외형적인 모습으로 인해 그간 일반 독자의 선택에서 다소 멀어졌던 경향이 있다. 이런 안타까운 상황을 개선하고, 김선영의 밀도 높은 작품을 일반 독자에게 널리 소개하고자 리커버... ",20180903
103,내일은 도시를 하나 세울까 해,http://book.naver.com/bookdb/book_detail.php?bid=3119484,https://bookthumb-phinf.pstatic.net/cover/031/194/03119484.jpg?type=m1&udate=20150716,O.T. 넬슨,9500,8550,뜨인돌출판사,8958071850 9788958071853,"어른이 멸종된 시대, 아이들의 기상천외한 서바이벌이 시작된다!

가까운 미래, 의문의 바이러스가 세상을 휩쓸어 12세 이하의 아이들만 세상에 남는다. 순식간에 잃어버린 문명의 혜택과 어른들의 보살핌. 순수하기만 했던 아이들의 세계에서 서서히 폭력과 약탈 등 어두운 면이 드러나는 한편, 스스로를 지키기... ",20071010
104,파이 이야기,http://book.naver.com/bookdb/book_detail.php?bid=1472560,https://bookthumb-phinf.pstatic.net/cover/014/725/01472560.jpg?type=m1&udate=20141223,얀 마텔,14000,12600,작가정신,8972882437 9788972882435,"이 시대가 낳은 모험소설의 고전! 황홀하고, 멋지고, 쾌활한 상상력으로 가득한 이야기  세계적인 베스트셀러 『파이 이야기』(원제: Life of Pi)는 열여섯 살 인도 소년 ‘파이’가 사나운 벵골 호랑이와 함께 구명보트에 몸을 싣고 227일 동안 태평양을 표류한 이야기다. 2002년 부커상을 수상한 이 작품은 전 세계... ",20041105
105,한씨연대기 (황석영 소설),http://book.naver.com/bookdb/book_detail.php?bid=16359455,https://bookthumb-phinf.pstatic.net/cover/163/594/16359455.jpg?type=m1&udate=20200520,황석영,12000,10800,문학동네,8954671586 9788954671583,북에서 당원과 군인보다 위급한 일반 환자를 먼저 돌보았다는 이유로 투옥되었던 주인공이 목숨을 걸고 넘어온 남쪽에서도 주변에 이용당하다 간첩으로 몰려 고초를 겪는 과정은 분단이라는 역사적 사건이 개인사의 층위에서 어떤 뒤틀림과 단절로 작용하는지를 소설만이 가능한 방식으로 증거하는... ,20200515
106,달의 바다 (제12회 문학동네작가상 수상작),http://book.naver.com/bookdb/book_detail.php?bid=3024824,https://bookthumb-phinf.pstatic.net/cover/030/248/03024824.jpg?type=m1&udate=20150319,정한아,9500,8550,문학동네,8954603645 9788954603645,"2007년 제12회 문학동네작가상 당선작

취업준비생인 '나'의 이야기와 우주비행사 고모가 보내온 편지가 교차하며 '현실과 환상'을 촘촘히 엮어낸 정한아 장편소설. 현실과 환상을 넘나들며 짜임새 있게 이야기를 풀어나가는 솜씨와 흡입력 있는 묘사, 그 속에 담겨 있는 삶에 대한 통찰과 인간을 향한 따뜻한... ",20070731
107,일리아스 (트로이 전쟁의 영웅들),http://book.naver.com/bookdb/book_detail.php?bid=12438338,https://bookthumb-phinf.pstatic.net/cover/124/383/12438338.jpg?type=m1&udate=20190904,호메로스|아우구스테 레히너,13000,11700,문학과지성사,8932030219 9788932030210,"일반적으로 이 작품은 우리에게 트로이 전쟁을 다룬 이야기로 잘 알려져 있지만 트로이 전쟁을 그 시작부터 차근차근 다루었다기보다, 트로이 전쟁이... 아닌 일반 독자들이 원전에 접근하기란 결코 쉽지 않다. 

이와 같은 특성을 지닌 호메로스의 원작을 쉽고 생생한 언어로 평역하여 펴낸 것이 바로 이... ",20170715
108,Lv2부터 치트였던 전직 용사후보의 유유자적 이세계 라이프 1,http://book.naver.com/bookdb/book_detail.php?bid=14723172,https://bookthumb-phinf.pstatic.net/cover/147/231/14723172.jpg?type=m1&udate=20190923,키노조 미야,9500,8550,소미미디어,1163893889 9791163893882,"이세계 클라이로드 마법국에 용사 후보로 소환된 버나저는, 능력이 일반시민이나 마찬가지였기에 용사 실격의 낙인이 찍히고 만다.
착오로 인해 송환되지 못한 버나저는 원래의 세계로 돌아갈 수 없게 되어버리고――?!
어쩔 수 없이 이세계에서 살게 된 버나저는 숲을 덮친 슬라임을 격퇴하여 레벨 업을 한다. 그... ",20190414
109,토요일의 주인님 3 (섬온화 장편소설),http://book.naver.com/bookdb/book_detail.php?bid=16686180,https://bookthumb-phinf.pstatic.net/cover/166/861/16686180.jpg?type=m1&udate=20200914,섬온화,14000,12600,곁,1165253429 9791165253424,"『토요일의 주인님』은 섬온화 작가의 BL 소설로, 2017년 전자책으로 출간하여 수많은 독자의 사랑을 받아 온 인기 작품이다. 소설은 대기업 래원의 컨설팅팀 팀장인 한주원과 그가 이끄는 TF팀에 발을 들이게 된 사원 이서단을 중심으로 전개되며, 두 주인공 사이 점차 완성되어 가는 관계성은 물론, 탄탄하게... ",20200910
110,악기들의 도서관 (김중혁 소설),http://book.naver.com/bookdb/book_detail.php?bid=4531622,https://bookthumb-phinf.pstatic.net/cover/045/316/04531622.jpg?type=m1&udate=20210114,김중혁,11800,10620,문학동네,8954605672 9788954605670,"전작에서 그가 독특하고 오래된, 그러나 이제는 쓸모없어진 사물들―예컨대 자전거, 라디오 타자기, 지도 등―을 고르고 모아 이름을 불러주고 그 사물들을 일반명사가 아닌 어떤 고유한 존재 하나의 ‘고유명사’로 되살려놓았다면, 두번째 작품집 『악기들의 도서관』에서 작가는 온갖 소리들―피아노... ",20080423
111,제발 조용히 좀 해요,http://book.naver.com/bookdb/book_detail.php?bid=146268,https://bookthumb-phinf.pstatic.net/cover/001/462/00146268.jpg?type=m1&udate=20130205,레이먼드 카버,13500,12150,문학동네,8982817581 9788982817588,"'헤밍웨이 이후 가장 영향력 있는 소설가’라 불리는 레이먼드 카버의 첫번째 소설집. 카버의 초기 단편 스물두 편이 실려 있다. 아이들의 개를 몰래 갖다버리는 아버지, 아내를 근사하게 치장하여 차를 팔아보려는 파산자, 이웃의 사생활을 엿보며 기쁨을 얻는 부부, 파경을 앞둔 부모를 기쁘게 하려는 철없는... ",20040320
